filename,arm_name,intervention_type,screening,1_month,3_months,6_months,9_months,12_months,cycle_length,visit_pattern,error
PMID 37315297 a_Summary_SoE.pdf,Arm 2 (Brachytherapy Alone),control,2,1,2,4,5,6,0,"Single brachytherapy procedure; Post-implant visit 3-5 weeks later; Follow-up at 4, 6, 9, 12 months.",
PMID 37331369 CT_Summary_SoE.pdf,Fruquintinib + Best Supportive Care (BSC),intervention,2,3,7,10,13,17,28,Cycles 1-3: Day 1 and Day 21. Cycles 4+: Day 1 only.,
PMID 37331369 CT_Summary_SoE.pdf,Placebo + Best Supportive Care (BSC),control,2,3,7,10,13,17,28,Cycles 1-3: Day 1 and Day 21. Cycles 4+: Day 1 only.,
PMID 37342922 a_Summary_SoE.pdf,Arm A (Tacrolimus/Methotrexate),control,3,11,19,21,22,23,,"Intensive monitoring (3x weekly) for the first month post-transplant, followed by weekly visits through month 3, then tapering to monthly/quarterly.",
PMID 37342922 a_Summary_SoE.pdf,Arm B (PTCy/Tacrolimus/MMF),intervention,3,11,19,21,22,23,,"Intensive monitoring (3x weekly) for the first month post-transplant, followed by weekly visits through month 3, then tapering to monthly/quarterly.",
PMID 37379502 a_Summary_SoE.pdf,Lazertinib (240 mg once daily),intervention,1,4,7,9,11,13,21,"Cycle 1: Days 1, 8, 15; Cycles 2-4: Day 1; Cycle 5 onwards: Day 1 of every other cycle (C5, C7, C9, etc.)",
PMID 37379502 a_Summary_SoE.pdf,Gefitinib (250 mg once daily),control,1,4,7,9,11,13,21,"Cycle 1: Days 1, 8, 15; Cycles 2-4: Day 1; Cycle 5 onwards: Day 1 of every other cycle (C5, C7, C9, etc.)",
PMID 37423228 CT_Summary_SoE.pdf,Atezolizumab,intervention,2,2,5,9,13,18,21,Atezolizumab is administered intravenously every 21 days (q3w). Visits occur on Day 1 of each cycle.,
PMID 37423228 CT_Summary_SoE.pdf,Single-agent chemotherapy (vinorelbine or gemcitabine),control,2,4,9,18,26,36,21,Chemotherapy (vinorelbine or gemcitabine) is administered on Day 1 and Day 8 of each 21-day cycle (q3w).,
PMID 37478390 CT_Summary_SoE.pdf,Arm A (Zanubrutinib),intervention,1,2,4,7,10,14,28,"Day 1 of each 28-day cycle (C1D1, C2D1, C3D1, etc.)",
PMID 37478390 CT_Summary_SoE.pdf,Arm B (Ibrutinib),control,1,2,4,7,10,14,28,"Day 1 of each 28-day cycle (C1D1, C2D1, C3D1, etc.)",
PMID 37499670 a_Summary_SoE.pdf,Experimental Arm (Camrelizumab + Rivoceranib),intervention,3,3,7,13,20,27,28,Experimental: Days 1 and 15 of every 28-day cycle.,
PMID 37499670 a_Summary_SoE.pdf,Control Arm (Sorafenib),control,3,3,7,10,13,17,28,"Control: Days 1 and 15 for Cycles 1-3, then Day 1 only from Cycle 4 onwards.",
PMID 37524096 CT_Summary_SoE.pdf,Everolimus,intervention,1,2,4,6,10,12,42,"Screening visit, Cycle 1 Day 1, Cycle 1 Week 4, then every 6 weeks at the start of each cycle (Weeks 7, 13, 19, 25, 31, 37, 43, 49), plus imaging assessments every 18 weeks (Weeks 18, 36).",
PMID 37524096 CT_Summary_SoE.pdf,Placebo,control,1,2,4,6,10,12,42,"Screening visit, Cycle 1 Day 1, Cycle 1 Week 4, then every 6 weeks at the start of each cycle (Weeks 7, 13, 19, 25, 31, 37, 43, 49), plus imaging assessments every 18 weeks (Weeks 18, 36).",
PMID 37604981 CT_Summary_SoE.pdf,Arm A (Glasdegib + Intensive Chemotherapy),intervention,2,11,30,54,57,61,28,"Induction: D1-7 (infusions), D8, D10, D15, D22. Consolidation: D1, D3, D5 (infusions), D8, D10, D15, D21, D22. Maintenance: D1.",
PMID 37604981 CT_Summary_SoE.pdf,Arm B (Placebo + Intensive Chemotherapy),control,2,11,30,54,57,61,28,"Induction: D1-7 (infusions), D8, D10, D15, D22. Consolidation: D1, D3, D5 (infusions), D8, D10, D15, D21, D22. Maintenance: D1.",
PMID 37604981 CT_Summary_SoE.pdf,Arm A (Glasdegib + Azacitidine),intervention,2,8,22,43,64,92,28,"Cycle 1: D1-7 (Azacitidine), D15 (Labs). Subsequent Cycles: D1-7 (Azacitidine).",
PMID 37604981 CT_Summary_SoE.pdf,Arm B (Placebo + Azacitidine),control,2,8,22,43,64,92,28,"Cycle 1: D1-7 (Azacitidine), D15 (Labs). Subsequent Cycles: D1-7 (Azacitidine).",
PMID 37646660 CT_Summary_SoE.pdf,Arm A (Melflufen + Daratumumab + Dexamethasone),intervention,1,6,15,28,41,55,28,"Days 1, 8, 15, 22 of all cycles; plus Day 4 in Cycles 1 and 3.",
PMID 37646660 CT_Summary_SoE.pdf,Arm B (Daratumumab monotherapy),control,1,6,13,19,22,26,28,"Cycles 1-2: Days 1, 8, 15, 22; Cycles 3-6: Days 1, 15; Cycle 7+: Day 1; plus Day 4 in Cycles 1 and 3.",
PMID 37647576 a_Summary_SoE.pdf,Nimotuzumab + Gemcitabine,intervention,2,5,13,26,39,53,28,"Weekly visits on Days 1, 8, 15, and 22 of each 28-day cycle.",
PMID 37647576 a_Summary_SoE.pdf,Placebo + Gemcitabine,control,2,5,13,26,39,53,28,"Weekly visits on Days 1, 8, 15, and 22 of each 28-day cycle.",
PMID 37704166 CT_Summary_SoE.pdf,Arm A (OSE2101),intervention,1,3,6,8,9,11,21,"Day 1 of each 21-day cycle for 6 cycles, then every 8 weeks for the remainder of year one. Cycle 1 includes an additional lab visit on Day 15.",
PMID 37704166 CT_Summary_SoE.pdf,Arm B (Docetaxel or Pemetrexed),control,1,3,6,10,14,19,21,Day 1 of each 21-day cycle. Cycle 1 includes an additional lab visit on Day 15.,
PMID 37708904 CT_Summary_SoE.pdf,Arm 1 (Irinotecan liposome injection + oxaliplatin + 5-FU/LV),intervention,1,5,14,26,40,53,28,"Days 1, 3, 15, and 17 of each 28-day cycle. Day 1 and 15 are for infusions; Day 3 and 17 are for 5-FU pump removal.",
PMID 37708904 CT_Summary_SoE.pdf,Arm 2 (Nab-paclitaxel + gemcitabine),control,1,4,10,20,30,40,28,"Days 1, 8, and 15 of each 28-day cycle for infusions.",
PMID 37722354 CT_Summary_SoE.pdf,Arm B (Ibrutinib + Background Chemotherapy),intervention,1,4,8,13,14,16,28,"BR regimen: 2 days per cycle (Day 1, 2) for 6 cycles (28-day cycles), then every 8 weeks during the post-chemotherapy period.",
PMID 37722354 CT_Summary_SoE.pdf,Arm A (Placebo + Background Chemotherapy),control,1,4,8,13,14,16,28,"BR regimen: 2 days per cycle (Day 1, 2) for 6 cycles (28-day cycles), then every 8 weeks during the post-chemotherapy period.",
PMID 37748693 CT_Summary_SoE.pdf,Arm A (Avelumab 10 mg/kg Q2W),intervention,1,3,7,13,20,27,14,Avelumab administered once every 2 weeks (Q2W). Imaging every 6 weeks aligns with treatment visits.,
PMID 37748693 CT_Summary_SoE.pdf,Arm B (Platinum-based Doublet Chemotherapy),control,1,4,9,16,18,20,21,Chemotherapy administered in 3-week cycles. Gemcitabine schedule (Day 1 and Day 8) used for maximum contact day calculation. Post-treatment imaging every 6 weeks.,
PMID 37748693 CT_Summary_SoE.pdf,Arm C (Avelumab 10 mg/kg Q1W then Q2W),intervention,1,5,13,19,26,33,7,"Avelumab once weekly for 12 weeks, then once every 2 weeks thereafter.",
PMID 37788412 CT_Summary_SoE.pdf,Arm A (Canakinumab 200 mg s.c.),intervention,1,4,7,11,15,20,21,"Cycle 1: Days 1, 8, 15; Cycles 2-18: Day 1 only.",
PMID 37788412 CT_Summary_SoE.pdf,Arm B (Placebo s.c.),control,1,4,7,11,15,20,21,"Cycle 1: Days 1, 8, 15; Cycles 2-18: Day 1 only.",
PMID 37792130 CT_Summary_SoE.pdf,Arm A (MYL-1402O + Carboplatin + Paclitaxel),intervention,3,2,5,9,13,17,21,Day 1 of each 21-day cycle (3-week intervals).,
PMID 37792130 CT_Summary_SoE.pdf,Arm B (Avastin + Carboplatin + Paclitaxel),control,3,2,5,9,13,17,21,Day 1 of each 21-day cycle (3-week intervals).,
PMID 37793771 CT_Summary_SoE.pdf,,,,,,,,,,,Failed to parse JSON
PMID 37845511 a_Summary_SoE.pdf,Arm A (Nivolumab),intervention,2,2,4,7,10,13,28,Day 1 of every 4-week (28-day) cycle.,
PMID 37845511 a_Summary_SoE.pdf,Arm B (Placebo),control,2,2,4,7,10,13,28,Day 1 of every 4-week (28-day) cycle.,
PMID 37870976 a_Summary_SoE.pdf,Arm A (amivantamab plus chemotherapy),intervention,1,5,8,12,16,21,21,"Cycle 1: Days 1, 2, 8, 15; Cycle 2: Day 1; Cycle 3+: Day 1",
PMID 37870976 a_Summary_SoE.pdf,Arm B (chemotherapy alone),control,1,2,5,9,13,18,21,Day 1 of each 21-day cycle,
PMID 37875143 a_Summary_SoE.pdf,Arm A (Pembrolizumab + Chemotherapy),intervention,2,2,5,9,13,18,21,Day 1 of each 21-day cycle (Q3W).,
PMID 37875143 a_Summary_SoE.pdf,Arm B (Placebo + Chemotherapy),control,2,2,5,9,13,18,21,Day 1 of each 21-day cycle (Q3W).,
PMID 37935977 CT_Summary_SoE.pdf,Arm 1 (Standard 7+3),control,1,10,24,38,39,40,28,Induction: 7 treatment days + 3 weekly lab days. Consolidation (4 cycles): 3 treatment days + 3 weekly lab days + 1 pre-cycle imaging day.,
PMID 37935977 CT_Summary_SoE.pdf,"Arm 2 (Idarubicin + High Dose Cytarabine, IA)",intervention,1,7,21,35,36,37,28,Induction: 4 treatment days + 3 weekly lab days. Consolidation (4 cycles): 3 treatment days + 3 weekly lab days + 1 pre-cycle imaging day.,
PMID 37935977 CT_Summary_SoE.pdf,Arm 3 (IA + Vorinostat),intervention,1,10,30,50,51,52,28,Induction: 7 treatment days + 3 weekly lab days. Consolidation (4 cycles): 6 treatment days + 3 weekly lab days + 1 pre-cycle imaging day.,
PMID 37980924 a_Summary_SoE.pdf,Arm A (Apixaban),intervention,2,4,5,5,5,5,28,"Screening (D-7 to 4), Randomization (D1 to 4), Weekly safety/chemo visits (D8, 15, 22), EOT/Chemo/Imaging (D29), Follow-up (D35).",
PMID 37980924 a_Summary_SoE.pdf,Arm B (No systemic anticoagulant prophylaxis),control,2,4,5,5,5,5,28,"Screening (D-7 to 4), Randomization (D1 to 4), Weekly safety/chemo visits (D8, 15, 22), EOT/Chemo/Imaging (D29), Follow-up (D35).",
PMID 38039991 CT_Summary_SoE.pdf,Arm A (Durvalumab + SoC CCRT),intervention,2,22,41,44,47,51,28,CCRT phase: Daily (5 days/week) for 8 weeks. Maintenance phase: q4w (every 28 days).,
PMID 38039991 CT_Summary_SoE.pdf,Arm B (Placebo + SoC CCRT),control,2,22,41,44,47,51,28,CCRT phase: Daily (5 days/week) for 8 weeks. Maintenance phase: q4w (every 28 days).,
PMID 38039993 a_Summary_SoE.pdf,Arm A (Lenvatinib + Pembrolizumab),intervention,2,4,8,12,16,21,21,"Cycle 1: Days 1, 8, 15; Cycle 2: Days 1, 15; Cycle 3 onwards: Day 1 only.",
PMID 38039993 a_Summary_SoE.pdf,Arm B (Lenvatinib + Placebo),control,2,4,8,12,16,21,21,"Cycle 1: Days 1, 8, 15; Cycle 2: Days 1, 15; Cycle 3 onwards: Day 1 only.",
PMID 38059497 CT_Summary_SoE.pdf,,,,,,,,,,,Failed to parse JSON
PMID 38060199 CT_Summary_SoE.pdf,Arm A (Ipatasertib + Atezolizumab + Paclitaxel),intervention,2,4,10,20,30,40,28,"Days 1, 8, and 15 of each 28-day cycle.",
PMID 38060199 CT_Summary_SoE.pdf,Arm B (Ipatasertib + Paclitaxel),control,2,4,10,20,30,40,28,"Days 1, 8, and 15 of each 28-day cycle.",
PMID 38060199 CT_Summary_SoE.pdf,Arm C (Paclitaxel),control,2,4,10,20,30,40,28,"Days 1, 8, and 15 of each 28-day cycle.",
PMID 38103088 CT_Summary_SoE.pdf,Arm 1 (F-627),intervention,1,24,52,52,52,52,21,"Cycle 1: Days 1 (Chemo), 2 (Drug), then daily labs until recovery+3 days. Cycles 2-4: Days 1 (Chemo), 2 (Drug), then every other day labs until recovery+3 days. EOS visit at Day 84.",
PMID 38103088 CT_Summary_SoE.pdf,Arm 2 (Placebo / F-627),control,1,24,52,52,52,52,21,"Cycle 1: Days 1 (Chemo), 2 (Placebo), then daily labs until recovery+3 days. Cycles 2-4: Days 1 (Chemo), 2 (Drug), then every other day labs until recovery+3 days. EOS visit at Day 84.",
PMID 38159809 CT_Summary_SoE.pdf,Arm A (Pembrolizumab + Lenvatinib),intervention,1,3,7,11,15,20,21,"Cycle 1: Days 1, 15; Cycle 2: Days 1, 15; Cycles 3-35: Day 1 only. All cycles are 21 days.",
PMID 38159809 CT_Summary_SoE.pdf,Arm B (Pembrolizumab + Placebo),control,1,3,7,11,15,20,21,"Cycle 1: Days 1, 15; Cycle 2: Days 1, 15; Cycles 3-35: Day 1 only. All cycles are 21 days.",
PMID 38231126 a_Summary_SoE.pdf,Guadecitabine (SGI-110),intervention,1,14,36,50,53,57,28,C1-2: 10 treatment days + 2 lab days; C3: 5 treatment days + 2 lab days; C4-6: 5 treatment days + 1 lab day; C7+: 1 treatment day per cycle.,
PMID 38231126 a_Summary_SoE.pdf,Treatment Choice (LDAC),control,1,14,42,70,73,77,28,C1-6: 10 treatment days + 2 lab days (C1-3) or 1 lab day (C4-6); C7+: 1 treatment day per cycle.,
PMID 38252907 a_Summary_SoE.pdf,Arm A (Nivolumab + Pemetrexed/Platinum),intervention,1,2,5,9,13,18,21,Day 1 of each 21-day cycle (Q3W).,
PMID 38252907 a_Summary_SoE.pdf,Arm B (Nivolumab + Ipilimumab),intervention,1,3,7,13,20,27,14,Day 1 of each 14-day cycle (Q2W).,
PMID 38252907 a_Summary_SoE.pdf,Arm C (Pemetrexed + Platinum),control,1,2,5,9,13,18,21,Day 1 of each 21-day cycle (Q3W).,
PMID 38319255 a_Summary_SoE.pdf,Arm A (Ibrutinib + Venetoclax),intervention,1,2,5,11,14,18,28,"Day 1 of every cycle; Cycle 3 Day 26; Cycle 4 Days 8, 15, 22.",
PMID 38319255 a_Summary_SoE.pdf,Arm B (Obinutuzumab + Chlorambucil),control,1,5,9,15,16,17,28,"Cycle 1: Days 1, 2, 8, 15; Cycles 2-6: Days 1, 15.",
PMID 38319800 CT_Summary_SoE.pdf,,,,,,,,,,,Failed to parse JSON
PMID 38319892 a_Summary_SoE.pdf,Arm A (Durvalumab 1500 mg monotherapy),intervention,1,2,4,7,10,14,28,Day 1 of each 28-day cycle for infusions and assessments.,
PMID 38319892 a_Summary_SoE.pdf,Arm B (Durvalumab 1500 mg + Tremelimumab 75 mg),intervention,1,2,4,7,10,14,28,Day 1 of each 28-day cycle for infusions and assessments.,
PMID 38319892 a_Summary_SoE.pdf,Arm C (Durvalumab 1500 mg + Tremelimumab 300 mg),intervention,1,2,4,7,10,14,28,Day 1 of each 28-day cycle for infusions and assessments.,
PMID 38319892 a_Summary_SoE.pdf,Arm D (Sorafenib 400 mg BID),control,1,2,4,7,10,14,28,Day 1 of each 28-day cycle for monitoring and drug dispensing.,
PMID 38319896 a_Summary_SoE.pdf,,,,,,,,,,,Failed to parse JSON
PMID 38320161 a_Summary_SoE.pdf,LUM Imaging System (Treatment Arm),intervention,1,3,3,3,3,3,0,"Screening visit, Day 1 surgery, Day 2-14 margin assessment visit, and Day 14-21 routine follow-up visit.",
PMID 38320161 a_Summary_SoE.pdf,Standard of Care (Control Arm),control,1,3,3,3,3,3,0,"Screening visit, Day 1 surgery, Day 2-14 margin assessment visit, and Day 14-21 routine follow-up visit.",
PMID 38483412 CT_Summary_SoE.pdf,Arm I (COPORT),control,2,22,38,39,39,40,7,5 fractions per week for approximately 7.4 weeks (total 37 fractions),
PMID 38483412 CT_Summary_SoE.pdf,Arm II (HYPORT),intervention,2,22,26,27,27,28,7,5 fractions per week for 5 weeks (total 25 fractions),
PMID 38499457 CT_Summary_SoE.pdf,Arm A (Pracinostat + Azacitidine),intervention,2,11,31,56,80,106,28,"Cycle 1: Days 1-7 (AZA), Day 15 (Pracinostat/PK), Day 21-26 (Labs). Cycle 2+: Days 1-7 (AZA), Day 21-26 (Labs/Assessments).",
PMID 38499457 CT_Summary_SoE.pdf,Arm B (Placebo + Azacitidine),control,2,11,31,56,80,106,28,"Cycle 1: Days 1-7 (AZA), Day 15 (Placebo/PK), Day 21-26 (Labs). Cycle 2+: Days 1-7 (AZA), Day 21-26 (Labs/Assessments).",
PMID 38531002 CT_Summary_SoE.pdf,Arm A (Pazopanib),intervention,2,3,6,9,12,16,28,Day 1 of each 28-day cycle; Day 15 of Cycles 1 and 2; EOT visit at Month 12.,
PMID 38531002 CT_Summary_SoE.pdf,Arm B (Placebo),control,2,3,6,9,12,16,28,Day 1 of each 28-day cycle; Day 15 of Cycles 1 and 2; EOT visit at Month 12.,
PMID 38552197 a_Summary_SoE.pdf,Experimental Arm (Atezolizumab + Cabozantinib),intervention,2,2,5,9,13,18,21,Day 1 of each 21-day cycle.,
PMID 38552197 a_Summary_SoE.pdf,Control Arm (Docetaxel),control,2,2,5,9,13,18,21,Day 1 of each 21-day cycle.,
PMID 38561010 CT_Summary_SoE.pdf,Arm 1 (Pembrolizumab + CRT),intervention,2,18,38,42,46,50,21,"1 priming dose (Day 1), then daily radiotherapy (5 days/week) for 7 weeks starting Day 8, with concurrent cisplatin and pembrolizumab every 3 weeks. Maintenance pembrolizumab continues every 3 weeks for a total of 17 doses.",
PMID 38561010 CT_Summary_SoE.pdf,Arm 2 (Placebo + CRT),control,2,18,38,42,46,50,21,"1 priming dose (Day 1), then daily radiotherapy (5 days/week) for 7 weeks starting Day 8, with concurrent cisplatin and placebo every 3 weeks. Maintenance placebo continues every 3 weeks for a total of 17 doses.",
PMID 38648575 a_Summary_SoE.pdf,Arm A (Irinotecan Liposome Injection),intervention,1,5,11,19,28,39,42,"Cycle 1: D1, D8, D15, D22, D29, D36. Cycle 2+: D1, D15, D22, D29.",
PMID 38648575 a_Summary_SoE.pdf,Arm B (IV Topotecan),control,1,13,31,55,80,111,42,"Cycle 1: D1-5, D8, D15, D22-26, D29, D36. Cycle 2+: D1-5, D15, D22-26, D29.",
PMID 38683596 CT_Summary_SoE.pdf,Arm 1 (Aspirin 300 mg daily x 5 years),intervention,1,0,0,1,1,2,180,Screening visit followed by clinic visits every 6 months.,
PMID 38683596 CT_Summary_SoE.pdf,Arm 2 (Placebo daily x 5 years),control,1,0,0,1,1,2,180,Screening visit followed by clinic visits every 6 months.,
PMID 38833643 CT_Summary_SoE.pdf,,,,,,,,,,,Failed to parse JSON
PMID 38833658 CT_Summary_SoE.pdf,Arm A (Lenvatinib + Pembrolizumab),intervention,1,3,7,13,20,27,28,Days 1 and 15 of every 28-day cycle.,
PMID 38833658 CT_Summary_SoE.pdf,Arm B (Standard of Care - Regorafenib or TAS-102),control,1,3,7,13,20,27,28,Days 1 and 15 of every 28-day cycle.,
PMID 38838287CT_Summary_SoE.pdf,Arm A (NKTR-214 + Nivolumab),intervention,2,5,8,12,16,21,42,"Cycle 1: Days 1, 3, 5, 8, 22; Subsequent Cycles: Days 1, 22",
PMID 38838287CT_Summary_SoE.pdf,Arm B (Sunitinib or Cabozantinib),control,2,3,6,10,14,19,42,"Cycle 1: Days 1, 8, 22; Subsequent Cycles: Days 1, 22",
PMID 38849283 CT_Summary_SoE.pdf,,,,,,,,,,,Failed to parse JSON
PMID 38872480 CT_Summary_SoE.pdf,Arm A (Bevacizumab + Paclitaxel + Carboplatin),intervention,2,5,9,13,17,22,21,"Day 1 of each 21-day cycle for treatment. Weekly visits (Day 8, 15, 29, 36) for vitals and incision checks during the first two cycles.",
PMID 38872480 CT_Summary_SoE.pdf,Arm B (Placebo + Paclitaxel + Carboplatin),control,2,5,9,13,17,22,21,"Day 1 of each 21-day cycle for treatment. Weekly visits (Day 8, 15, 29, 36) for vitals and incision checks during the first two cycles.",
PMID 38889373 CT_Summary_SoE.pdf,Arm A (Amcenestrant + Palbociclib),intervention,2,3,6,9,12,16,28,Cycles 1 and 2: Day 1 and Day 15. Cycle 3 onwards: Day 1 only.,
PMID 38889373 CT_Summary_SoE.pdf,Arm B (Letrozole + Palbociclib),control,2,3,6,9,12,16,28,Cycles 1 and 2: Day 1 and Day 15. Cycle 3 onwards: Day 1 only.,
PMID 38942046 CT_Summary_SoE.pdf,Arm A (Perioperative Nivolumab),intervention,1,3,4,8,11,13,28,"1 neoadjuvant dose, pre-surgery labs, surgery, then 9 adjuvant doses every 4 weeks.",
PMID 38942046 CT_Summary_SoE.pdf,Arm B (Observation),control,1,2,4,5,5,6,,"Pre-surgery labs, surgery, 6-week post-surgery labs, Week 12 labs, Month 4.5 imaging, Month 9 imaging.",
